"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"VCAM1",0.00730177229723585,0,6.00582268826531,0,1,1
"VCAN",0.0156393112121,0,6.00582268786359,0,1,1
"VCL",4726.62611311867,0.0266082950937001,0.130513687538835,0.203873598206186,0.83845227733525,1
"VCP",5187.57722485688,-0.037275069992801,0.0865164527632546,-0.430843715874496,0.666582010705547,1
"VCPIP1",408.815923861254,0.012344051453143,0.230378550380452,0.0535816005125378,0.957268516114545,1
"VCPKMT",139.138700932277,0.189458730284764,0.265053466122831,0.714794388679925,0.474736103002986,1
"VCX",0.0193331528832166,0,5.94349417969477,0,1,1
"VCX3A",0.0052848689246506,0,5.95092427547142,0,1,1
"VDAC1",4593.07071059199,-0.0561655466708983,0.119879495048274,-0.468516710453954,0.639415123838963,1
"VDAC1P1",1.50827351181167,1.34761847871895,1.73252112447454,0.777836679554296,0.436665301278786,1
"VDAC1P10",0.0246591012356141,0.237624404336801,5.98242705372507,0.0397204014696411,0.968316036490024,1
"VDAC1P11",0.346886325146049,0.298868515206233,5.70765851671959,0.0523627183249925,0.958239679810301,1
"VDAC1P13",0.00257604476407728,0,6.00582268832208,0,1,1
"VDAC1P2",0.525860303685705,0.0745772787401786,2.39818360100142,0.0310974016789361,0.975191861828738,1
"VDAC1P3",0.0456628950795184,0.485489486970268,5.98410663856904,0.0811298187504161,0.935338711911238,1
"VDAC1P4",0.226914171797965,-0.30288988833719,5.17224986272591,-0.0585605677173452,0.953302119156449,1
"VDAC1P5",0.136448277729432,0.091754779100048,5.99658966247365,0.0153011602034811,0.987791916883731,1
"VDAC1P6",0.474195051830769,-0.722507136914938,2.81581987880855,-0.25658854898796,0.797496415705724,1
"VDAC1P7",0.0452242128889119,0,5.98531776738803,0,1,1
"VDAC1P8",0.847069434533543,-0.145467435443478,1.99441148730749,-0.0729375238606668,0.941855833727321,1
"VDAC2",3914.39622206276,0.0100843824420212,0.109343036758291,0.0922270200370718,0.926517670642326,1
"VDAC2P1",0.00662842962318439,0,5.96616599336853,0,1,1
"VDAC2P3",0.0175793599953495,0,6.00582268837127,0,1,1
"VDAC3",2247.02883683741,0.18248255062295,0.254061976685577,0.718259981298924,0.472597000289229,1
"VDAC3P1",0.0413528875660291,0,6.00582268838769,0,1,1
"VDR",1264.26207539056,0.0241110078844422,0.105388143709684,0.228782926007897,0.819037637936102,1
"VEGFA",1026.04535486814,0.0397882312022321,0.304009751487905,0.130878141268488,0.895871706668473,1
"VEGFB",465.205737361231,-0.0017356398585384,0.150206424177448,-0.0115550308053935,0.990780624481127,1
"VEGFC",100.264796849123,0.118063197192073,0.204115727197291,0.578413034670068,0.562985295781185,1
"VENTX",0.00406816124674401,0,5.9506273025792,0,1,1
"VENTXP3",0.000444233056794299,0,5.9506277929708,0,1,1
"VENTXP4",0.00100538604551597,0,5.94349377731151,0,1,1
"VENTXP6",0.00885443115442975,0,5.950627365422,0,1,1
"VEPH1",18.1212027064275,-0.127514865123353,0.493080235555875,-0.258608753562387,0.795937128594589,1
"VEZF1",800.001147540788,-0.139151903548605,0.128893673743636,-1.07958675943531,0.280326240157319,1
"VEZF1P1",0.0785574949508794,0.556220775770875,5.98417691226178,0.0929485848974751,0.925944407615468,1
"VEZT",1276.46727719707,0.115656236740538,0.110254595843937,1.04899243297075,0.294181601133993,1
"VGF",18.5423729004397,0.0382900745251507,0.656125869980746,0.0583578186396984,0.953463613327716,1
"VGLL1",103.470677175264,-0.1329490001345,0.37841054649248,-0.351335345610253,0.72533678099808,1
"VGLL2",25.0817054304459,-0.300396865114748,0.480205889681336,-0.625558477248356,0.53160458120977,1
"VGLL3",309.165602662052,-0.0100979719900027,0.14582185681607,-0.069248686105675,0.944791670180799,1
"VGLL4",436.123300757004,-0.0251582820188591,0.136557290516223,-0.184232434048406,0.853831116253114,1
"VHL",366.024533185229,-0.106162673784037,0.111003165954715,-0.956393206184295,0.3388736158108,1
"VHLL",0.00802734810620857,0,5.94349382131095,0,1,1
"VIL1",1.38040046031935,-1.0007446993398,1.81618464936717,-0.5510148429503,0.581623499612759,1
"VILL",97.2421276783929,0.00576947377578232,0.286753136822873,0.0201200023117659,0.983947643837167,1
"VIM",1.20967299632077,1.54159459991013,1.82181538205054,0.846185961046721,0.39744901242146,1
"VIM-AS1",0.130344301981156,0,6.00582268746028,0,1,1
"VIMP",809.0595978207,0.101321454268581,0.158089529558873,0.64091185894034,0.521579950553225,1
"VIP",0.0709207156517839,0.621095104288712,5.96075847029564,0.104197327803807,0.917012754534368,1
"VIPAS39",464.644591263019,0.120317426788522,0.211441268260017,0.569034738481437,0.569332565427237,1
"VIPR1",57.0929283000467,-0.138921273347123,0.240632205978109,-0.577317873068749,0.56372474202371,1
"VIPR1-AS1",2.83325010141162,0.551118050700991,1.2299916710088,0.448066489953532,0.654105211407641,1
"VIPR2",0.112106971204878,-0.53128417008381,5.95898776285331,-0.0891567815251592,0.928957311885832,1
"VIT",0.121364847137001,0.586804095716929,5.97848016775404,0.0981527209677733,0.921811024313229,1
"VKORC1",320.509833076653,0.0345970456329954,0.20090614785587,0.172205012152317,0.863276357619079,1
"VKORC1L1",732.483720124352,-0.125278384375979,0.128463691098987,-0.975204614659918,0.32945877355092,1
"VLDLR",2.69432798218922,-0.470096510453572,1.10277877710025,-0.426283603035678,0.669901204443833,1
"VLDLR-AS1",0.326451822637943,-0.170767403910368,5.93433454104219,-0.0287761673578278,0.977043108700269,1
"VMA21",425.059888952499,-0.0777908313945812,0.237429928521546,-0.327637008017386,0.743186136723776,1
"VMAC",27.7562072878955,-0.0398897019918715,0.393391510316987,-0.101399498834454,0.919233334296917,1
"VMO1",2.89201867198347,-0.372381007278995,1.07056467530469,-0.347836068075954,0.727963300653019,1
"VMP1",1247.1931564286,0.100946042563775,0.215068101997667,0.469367803156925,0.638806758090847,1
"VN1R1",0.150231810967671,0.589537494656553,5.68276086767355,0.103741387044833,0.917374581720581,1
"VN1R103P",0.717660255149306,-1.03869151718453,2.94009203936438,-0.353285374497692,0.723874508983923,1
"VN1R106P",0.964168524198747,-0.0376595993468857,1.81721923655021,-0.0207237512070246,0.983466022363676,1
"VN1R108P",0.225351901423617,0.653730458757596,3.56747213636499,0.183247530399411,0.854603801850844,1
"VN1R110P",0.00792729704085588,0,5.9593880650951,0,1,1
"VN1R12P",0.00773813340319044,0,5.97564476791582,0,1,1
"VN1R2",0.0139433587158536,0,6.00582268816116,0,1,1
"VN1R20P",0.0984996349791578,0.4530703483606,5.96602937935371,0.075941689112111,0.939465489488033,1
"VN1R21P",1.25588846307415,0.168399902157827,1.74598301353619,0.0964499086487455,0.923163255479898,1
"VN1R30P",0.00258344726306133,0,6.00582268832227,0,1,1
"VN1R40P",0.00138965799688492,0,5.95938793096796,0,1,1
"VN1R42P",0.603626963247546,-0.327112182706382,2.10596559585188,-0.155326460864648,0.876563956012441,1
"VN1R46P",0.0034138919732843,0,6.00582268834695,0,1,1
"VN1R5",0.00500392497655908,0,5.9709139151801,0,1,1
"VN1R60P",0.401171903068221,-0.0777674558615904,3.44607887673982,-0.022566940178445,0.981995715024092,1
"VN1R7P",0.00883973494708713,0,6.00582268833242,0,1,1
"VN1R81P",0.0385443129664229,0,5.98264428134868,0,1,1
"VN1R82P",4.84724306115771,0.424241511326706,1.16106451756046,0.365390126827826,0.714820210178927,1
"VN1R83P",2.05620340703395,-0.299752503427741,1.16472501826431,-0.25735903215545,0.79690162554753,1
"VN1R84P",0.269278222117545,-0.508956101916679,2.72627804624098,-0.186685324564908,0.851907363111732,1
"VN1R91P",0.0434003702899979,0,6.00582268821454,0,1,1
"VN1R99P",0.00121160174101068,0,5.98264428984202,0,1,1
"VN1R9P",0.0087929877582728,0,6.00582268833213,0,1,1
"VN2R10P",0.051575686714567,-0.543421812122409,5.95783285802929,-0.0912113221487989,0.927324678682625,1
"VN2R17P",0.0632505615703565,-1.29417708419233,5.97374171707603,-0.216644298579716,0.828485560220285,1
"VN2R19P",0.0155345249822692,0,5.99462923324799,0,1,1
"VN2R3P",0.0906399750664339,-0.521293072914975,5.949311557138,-0.0876224194864237,0.930176782539308,1
"VN2R9P",0.534421835513413,-0.40334866778525,2.4437685164142,-0.165051912681604,0.868903121917943,1
"VNN1",0.585605558411873,0.131700834201616,2.41919145384485,0.0544400212692145,0.956584593753062,1
"VNN2",0.0850351164130508,0.732657107803632,5.97297284872254,0.122662052274409,0.902374714775458,1
"VOPP1",1307.23589377623,0.00647984982854345,0.0744736272530293,0.0870086508144381,0.930664635832462,1
"VPRBP",757.056602456137,0.0965950266184718,0.165987734122501,0.581940750797787,0.560606590447632,1
"VPREB3",1.71960073653246,0.978261622944775,1.47653143420432,0.662540329506731,0.507624997364205,1
"VPS11",680.02670767005,0.0114019268896726,0.108556441677119,0.105032246023553,0.916350221598305,1
"VPS13A",1736.27590063562,-0.0116342224493683,0.233009405156407,-0.0499302697312106,0.960177955622533,1
"VPS13A-AS1",0.0119050166669524,0,5.95310990764202,0,1,1
"VPS13B",569.40356803592,0.118642492430621,0.24297203649107,0.488296900927454,0.625339556293943,1
"VPS13C",1200.88120201385,0.113329958274858,0.285539812787832,0.396897221330978,0.691443253336823,1
"VPS13D",1594.97309097521,0.0682829702197724,0.257993754680873,0.264669082025786,0.791264397298753,1
"VPS16",494.161323244635,0.00661376324096757,0.107725412549213,0.0613946429580498,0.951044918613769,1
"VPS18",741.55869691163,0.0302816152235894,0.127242048598937,0.237984342102477,0.811893238551092,1
"VPS25",1034.90892686852,0.00395667395017451,0.151594559908478,0.0261003689879325,0.979177282754156,1
"VPS25P1",0.0358846283795107,-0.576276319840118,5.98747024454692,-0.0962470452967946,0.923324367474279,1
"VPS26A",1262.91392869595,0.047527953699043,0.178009579988691,0.266996606036948,0.789471774257307,1
