,network,experiment,cellType,data,design,method,designANDmethod,expDesign,combination,numberOfDiffExp,numberOfNodes,connectivity
1596,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X41,14,4,
1597,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1544,5,2,
1598,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X963,9,5,0.0
1599,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1649,5,3,
1600,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1081,5,3,
1601,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1495,17,3,
1602,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X436,6,2,
1603,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X130,4,3,
1604,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X895,13,5,0.0
1605,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1097,5,2,
1606,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X679,8,4,
1607,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X988,3,0,
1608,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1182,6,2,
1609,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X443,3,1,
1610,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1200,2,2,
1611,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1331,10,1,
1612,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X528,5,3,
1613,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X638,1,1,
1614,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1332,5,2,
1615,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X560,7,5,0.0
1616,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1690,4,3,
1617,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X426,3,2,
1618,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1180,7,2,
1619,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1219,3,2,
1620,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1032,7,4,
1621,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X931,2,1,
1622,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X485,4,4,
1623,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X162,5,3,
1624,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X894,3,2,
1625,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X726,8,5,0.4
1626,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1794,4,3,
1627,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1834,4,1,
1628,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X111,5,2,
1629,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1558,6,6,0.0
1630,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1099,7,3,
1631,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1250,3,3,
1632,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1816,3,3,
1633,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X229,4,3,
1634,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1342,1,1,
1635,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1867,11,2,
1636,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X280,4,4,
1637,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X16,4,3,
1638,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1174,4,2,
1639,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X468,3,1,
1640,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X478,11,2,
1641,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X804,3,2,
1642,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1479,10,5,0.0
1643,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1047,4,3,
1644,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1021,16,6,0.0
1645,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1705,2,2,
1646,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X5,13,2,
1647,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1237,4,1,
1648,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X581,6,2,
1649,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1530,10,2,
1650,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1508,1,1,
1651,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X456,8,7,0.0
1652,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1061,10,4,
1653,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X384,7,6,0.0
1654,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X331,8,6,0.0
1655,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X210,4,3,
1656,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X531,1,0,
1657,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X410,13,3,
1658,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X258,5,4,
1659,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1743,4,2,
1660,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1713,4,4,
1661,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X238,6,2,
1662,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X393,7,3,
1663,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1010,7,5,0.0
1664,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X815,5,2,
1665,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1646,5,4,
1666,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1034,8,5,0.0
1667,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1861,2,2,
1668,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1270,2,0,
1669,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X523,3,1,
1670,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1956,3,2,
1671,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X427,3,2,
1672,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1638,11,3,
1673,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X868,5,5,0.0
1674,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X356,5,5,0.0
1675,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X383,3,3,
1676,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X375,3,2,
1677,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X910,6,2,
1678,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1181,4,2,
1679,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1016,14,5,0.0
1680,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X232,6,2,
1681,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1571,9,5,0.0
1682,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X840,3,2,
1683,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1135,5,1,
1684,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1812,2,2,
1685,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X658,7,4,
1686,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1700,10,7,0.0
1687,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1947,12,1,
1688,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X764,7,3,
1689,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X775,2,1,
1690,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1419,5,4,
1691,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X202,6,2,
1692,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1033,6,3,
1693,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X97,5,2,
1694,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1862,4,1,
1695,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X368,6,5,0.0
1696,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X624,4,3,
1697,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1565,5,5,0.0
1698,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X892,2,1,
1699,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X646,17,7,0.2857142857142857
1700,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X822,8,2,
1701,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1370,18,2,
1702,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1055,4,2,
1703,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1427,11,3,
1704,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X125,5,3,
1705,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1619,10,3,
1706,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X959,6,2,
1707,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X853,7,3,
1708,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X290,8,4,
1709,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1417,4,3,
1710,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X954,4,1,
1711,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1916,4,2,
1712,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X949,6,2,
1713,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X975,6,5,0.0
1714,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X194,5,5,0.0
1715,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1552,4,3,
1716,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X435,2,0,
1717,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1245,5,2,
1718,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X756,10,7,0.0
1719,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1422,5,3,
1720,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1492,1,1,
1721,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X352,6,5,0.0
1722,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X766,5,3,
1723,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1738,4,2,
1724,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1642,7,2,
1725,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X68,13,3,
1726,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1896,2,0,
1727,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X322,7,7,0.0
1728,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1658,4,3,
1729,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1216,1,1,
1730,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1757,7,4,
1731,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X696,8,4,
1732,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1133,4,1,
1733,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1519,4,3,
1734,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X593,9,2,
1735,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1795,13,2,
1736,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1950,5,1,
1737,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X91,1,1,
1738,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1581,6,4,
1739,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X155,3,1,
1740,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X688,5,3,
1741,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1430,1,1,
1742,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X946,4,1,
1743,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X527,4,2,
1744,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X163,6,1,
1745,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1402,10,2,
1746,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X872,5,3,
1747,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X324,3,3,
1748,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1167,4,2,
1749,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X448,6,6,0.0
1750,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X520,13,4,
1751,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X132,14,4,
1752,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1832,5,3,
1753,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X89,6,3,
1754,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X966,6,4,
1755,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X227,2,2,
1756,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1465,3,2,
1757,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X400,3,2,
1758,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X489,3,3,
1759,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X308,5,2,
1760,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1162,3,2,
1761,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X15,8,3,
1762,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1949,8,4,
1763,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X751,5,3,
1764,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X366,2,1,
1765,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1142,2,0,
1766,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X927,6,2,
1767,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1887,10,2,
1768,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X432,4,2,
1769,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X38,27,5,0.0
1770,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1828,5,0,
1771,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X760,4,1,
1772,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1633,3,2,
1773,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X627,4,2,
1774,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X133,12,2,
1775,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1955,11,2,
1776,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1965,7,4,
1777,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X771,5,1,
1778,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X922,4,0,
1779,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X189,3,0,
1780,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1455,3,1,
1781,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1105,3,1,
1782,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1106,2,2,
1783,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X72,8,3,
1784,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X786,4,3,
1785,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X18,5,4,
1786,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X298,9,5,0.0
1787,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X374,7,5,0.0
1788,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X515,6,1,
1789,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X985,13,6,0.0
1790,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X239,6,4,
1791,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1567,5,4,
1792,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X713,6,5,0.0
1793,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X761,16,5,0.0
1794,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X714,4,2,
1795,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1784,2,0,
1796,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X180,12,2,
1797,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X573,7,5,0.0
1798,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X603,4,3,
1799,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2023,5,4,
1800,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1546,6,4,
1801,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X3,8,1,
1802,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X482,6,6,0.0
1803,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1732,3,3,
1804,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1224,7,3,
1805,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X620,12,3,
1806,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X772,1,1,
1807,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X989,14,7,0.0
1808,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1392,4,4,
1809,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1483,11,4,
1810,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1807,4,2,
1811,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X787,4,2,
1812,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X461,6,4,
1813,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X153,3,0,
1814,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X644,14,6,0.33333333333333337
1815,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1473,3,2,
1816,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X71,3,1,
1817,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X698,3,2,
1818,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1096,6,2,
1819,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X684,16,4,
1820,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1159,4,3,
1821,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1858,3,3,
1822,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X734,5,2,
1823,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1871,4,2,
1824,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X380,2,1,
1825,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1063,7,2,
1826,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X234,3,1,
1827,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X466,6,4,
1828,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1171,3,1,
1829,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1320,3,1,
1830,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1799,6,4,
1831,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1065,6,3,
1832,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1187,2,1,
1833,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X731,7,4,
1834,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1717,5,4,
1835,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X848,4,3,
1836,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1793,3,1,
1837,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X80,5,2,
1838,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1381,4,2,
1839,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X811,2,0,
1840,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X192,2,2,
1841,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X106,5,2,
1842,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X790,5,2,
1843,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1866,4,2,
1844,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2013,18,4,
1845,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X641,3,1,
1846,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X495,4,3,
1847,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X173,15,3,
1848,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1003,4,4,
1849,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X19,2,0,
1850,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1314,8,5,0.0
1851,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1534,6,1,
1852,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X198,6,4,
1853,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1627,12,4,
1854,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1631,4,2,
1855,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1295,5,3,
1856,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1591,8,6,0.0
1857,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X855,2,2,
1858,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1682,3,2,
1859,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1052,4,3,
1860,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X406,2,1,
1861,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X776,8,3,
1862,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1136,4,2,
1863,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X863,9,2,
1864,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X765,6,4,
1865,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1085,5,4,
1866,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1008,6,4,
1867,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X546,14,9,0.0
1868,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X712,11,4,
1869,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X789,5,2,
1870,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1888,5,3,
1871,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X409,5,2,
1872,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X876,2,2,
1873,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1917,20,5,0.0
1874,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X333,2,2,
1875,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1285,3,1,
1876,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X777,1,1,
1877,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1484,3,2,
1878,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X408,8,5,0.0
1879,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1592,5,3,
1880,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X31,3,1,
1881,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X379,13,5,0.0
1882,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1094,4,3,
1883,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X507,11,2,
1884,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X852,1,1,
1885,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X336,4,4,
1886,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X545,6,3,
1887,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X360,6,4,
1888,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1694,6,4,
1889,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1697,3,3,
1890,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X76,13,4,
1891,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2035,18,4,
1892,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X604,4,3,
1893,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X30,4,2,
1894,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1640,3,1,
1895,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1306,12,3,
1896,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1575,9,4,
1897,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1728,1,1,
1898,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1910,16,2,
1899,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1545,4,3,
1900,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X838,5,2,
1901,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X464,5,3,
1902,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1554,2,2,
1903,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1991,3,3,
1904,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1787,7,0,
1905,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1629,3,3,
1906,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X391,3,2,
1907,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1890,4,2,
1908,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X293,6,3,
1909,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1975,17,4,
1910,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X896,3,3,
1911,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1990,4,3,
1912,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1839,4,1,
